0.0652526	   0.28842 0.00166293   0.611664	0.6 0.3 0.4	 0.0439792  0.0443534 -0.0246111	0.0671349
0.0662526	  0.288464 0.00170753   0.611639	0.6 0.3 0.4	 0.0442758  0.0446993 -0.0246404	0.0675687
0.0672526	  0.288508 0.00175232   0.611614	0.6 0.3 0.4	 0.0445655   0.045038 -0.0246634	0.0679911
0.0682526	  0.288553 0.00179741    0.61159	0.6 0.3 0.4	 0.0448479  0.0453697 -0.0246799	0.0684021
0.0692526	  0.288598 0.00184321   0.611565	0.6 0.3 0.4	 0.0451233  0.0456939 -0.0246901	0.0688015
0.0702526	  0.288644 0.00188879    0.61154	0.6 0.3 0.4	 0.0453924  0.0460114 -0.0246947	0.0691907
0.0712526	  0.288689 0.00193508   0.611516	0.6 0.3 0.4	 0.0456548  0.0463226 -0.0246935	0.0695695
0.0722526	  0.288735 0.00198167   0.611491	0.6 0.3 0.4	0.0459111 0.0466268 -0.024687	0.0699381
0.0732526	  0.288781 0.00202828   0.611466	0.6 0.3 0.4	 0.0461718  0.0469313 -0.0246705	0.0703066
0.0742526	  0.288827 0.00207525   0.611441	0.6 0.3 0.4	  0.046416   0.047223 -0.0246541	0.0706561
0.0752526	  0.288874 0.00212276   0.611417	0.6 0.3 0.4	 0.0466645  0.0475141 -0.0246274	0.0710047
0.0762526	   0.28892 0.00217033   0.611392	0.6 0.3 0.4	 0.0468972  0.0477939 -0.0246013	0.071336
0.0772526	  0.288967 0.00221832   0.611368	0.6 0.3 0.4	 0.0471244  0.0480669 -0.0245716	0.0716582
0.0782526	  0.289015 0.00226634   0.611343	0.6 0.3 0.4	 0.0473464  0.0483342 -0.0245373	0.0719719
0.0792526	  0.289062 0.00231494   0.611319	0.6 0.3 0.4	 0.0475635  0.0485962 -0.0244995	0.072278
0.0802526	   0.28911 0.00236373   0.611295	0.6 0.3 0.4	 0.0477755  0.0488522 -0.0244576	0.0725756
0.0812526	  0.289158 0.00241265    0.61127	0.6 0.3 0.4	 0.0479828  0.0491028 -0.0244119	0.0728655
0.0822526	  0.289206 0.00246205   0.611245	0.6 0.3 0.4	 0.0481957  0.0493532 -0.0243576	0.0731564
0.0832526	  0.289254 0.00251146   0.611221	0.6 0.3 0.4	0.0483941 0.0495931 -0.024306	0.0734319
0.0842526	  0.289303 0.00256129   0.611197	0.6 0.3 0.4	  0.048588  0.0498275 -0.0242507	0.0736999
0.0852526	  0.289351 0.00261131   0.611172	0.6 0.3 0.4	 0.0487776  0.0500573 -0.0241931	0.0739614
0.0862526	    0.2894 0.00266135   0.611149	0.6 0.3 0.4	 0.0489634   0.050282 -0.0241327	0.0742165
0.0872526	  0.289449 0.00271141   0.611124	0.6 0.3 0.4	 0.0491451  0.0505019 -0.0240697	0.074465
0.0882526	  0.289498 0.00276205     0.6111	0.6 0.3 0.4	 0.0493233  0.0507169 -0.0240045	0.0747074
0.0892526	  0.289548 0.00281311   0.611076	0.6 0.3 0.4	 0.0494974   0.050927 -0.0239371	0.0749436
0.0902526	  0.289597 0.00286395   0.611053	0.6 0.3 0.4	 0.0496687  0.0511329 -0.0238681	0.0751748
0.0912526	  0.289647 0.00291504   0.611029	0.6 0.3 0.4	 0.0498364  0.0513338 -0.0237964	0.0753996
0.0922526	  0.289697 0.00296689   0.611005	0.6 0.3 0.4	 0.0500007  0.0515308 -0.0237241	0.0756196
0.0932526	  0.289747 0.00301819   0.610981	0.6 0.3 0.4	 0.0501619  0.0517233 -0.0236494	0.0758341
0.0942526	  0.289797 0.00307006   0.610957	0.6 0.3 0.4	   0.05032  0.0519115 -0.0235737	0.0760436
0.0952526	  0.289848 0.00312236   0.610934	0.6 0.3 0.4	 0.0504858  0.0520992 -0.0234914	0.0762561
0.0962526	  0.289898 0.00317427   0.610911	0.6 0.3 0.4	 0.0506381  0.0522791 -0.0234132	0.0764559
0.0972526	  0.289949 0.00322677   0.610887	0.6 0.3 0.4	 0.0507978  0.0524585 -0.0233287	0.0766586
0.0982526	      0.29 0.00327922   0.610864	0.6 0.3 0.4	 0.0509446  0.0526306 -0.0232494	0.0768497
0.0992526	  0.290051 0.00333174   0.610841	0.6 0.3 0.4	  0.051099  0.0528022 -0.0231631	0.0770435
0.100253	  0.290102 0.00338485   0.610817	0.6 0.3 0.4	 0.0512404  0.0529665 -0.0230821	0.0772257
0.101253	  0.290153 0.00343781   0.610794	0.6 0.3 0.4	 0.0513797  0.0531271 -0.0230009	0.0774042
0.102253	  0.290205 0.00349134   0.610771	0.6 0.3 0.4	0.0515165 0.0532839 -0.022919	0.0775784
0.103253	  0.290257 0.00354449   0.610749	0.6 0.3 0.4	 0.0516514  0.0534377 -0.0228376	0.0777497
0.104253	  0.290308 0.00359759   0.610726	0.6 0.3 0.4	 0.0517846  0.0535874 -0.0227562	0.0779172
0.105253	   0.29036 0.00365174   0.610703	0.6 0.3 0.4	 0.0519152  0.0537341 -0.0226746	0.0780813
0.106253	  0.290412 0.00370532   0.610681	0.6 0.3 0.4	 0.0520439  0.0538772 -0.0225931	0.0782417
0.107253	  0.290464 0.00375932   0.610658	0.6 0.3 0.4	 0.0521708  0.0540169 -0.0225116	0.078399
0.108253	 0.290516 0.0038135  0.610636	0.6 0.3 0.4	 0.0522962  0.0541539 -0.0224313	0.0785538
0.109253	  0.290569 0.00386762   0.610613	0.6 0.3 0.4	 0.0524194  0.0542876 -0.0223503	0.078705
0.110253	  0.290621 0.00392182   0.610591	0.6 0.3 0.4	 0.0525413  0.0544183 -0.0222712	0.078854
0.111253	  0.290674 0.00397643   0.610568	0.6 0.3 0.4	 0.0526618  0.0545459 -0.0221922	0.0790001
0.112253	  0.290727 0.00403145   0.610546	0.6 0.3 0.4	 0.0527803  0.0546703 -0.0221141	0.0791432
0.113253	  0.290779 0.00408579   0.610524	0.6 0.3 0.4	 0.0528975  0.0547923 -0.0220366	0.079284
0.114253	  0.290832 0.00414082   0.610502	0.6 0.3 0.4	 0.0530138  0.0549112 -0.0219604	0.0794226
0.115253	  0.290885 0.00419587    0.61048	0.6 0.3 0.4	 0.0531282  0.0550275 -0.0218855	0.0795588
0.116253	  0.290939 0.00425063   0.610459	0.6 0.3 0.4	 0.0532416  0.0551411 -0.0218113	0.0796928
0.117253	  0.290992 0.00430586   0.610437	0.6 0.3 0.4	 0.0533537  0.0552522 -0.0217385	0.0798247
0.118253	  0.291045 0.00436133   0.610415	0.6 0.3 0.4	 0.0534644  0.0553602 -0.0216668	0.079954
0.119253	  0.291099 0.00441651   0.610393	0.6 0.3 0.4	 0.0535739  0.0554658 -0.0215963	0.0800813
0.120253	  0.291152 0.00447216   0.610372	0.6 0.3 0.4	 0.0536825  0.0555695 -0.0215273	0.0802072
0.121253	  0.291206 0.00452805   0.610351	0.6 0.3 0.4	 0.0537899  0.0556699 -0.0214601	0.0803307
0.122253	   0.29126 0.00458324   0.610329	0.6 0.3 0.4	 0.0538963  0.0557687 -0.0213942	0.0804529
0.123253	  0.291314 0.00463931   0.610308	0.6 0.3 0.4	 0.0540018  0.0558649 -0.0213299	0.0805732
0.124253	  0.291368 0.00469521   0.610286	0.6 0.3 0.4	 0.0541061  0.0559588 -0.0212675	0.0806918
0.125253	 0.291422 0.0047514  0.610265	0.6 0.3 0.4	 0.0542098  0.0560503 -0.0212068	0.0808088
0.126253	  0.291476 0.00480731   0.610244	0.6 0.3 0.4	 0.0543126  0.0561395 -0.0211481	0.0809243
0.127253	  0.291531 0.00486362   0.610222	0.6 0.3 0.4	 0.0544144   0.056227 -0.0210911	0.0810385
0.128253	  0.291585 0.00491981   0.610202	0.6 0.3 0.4	 0.0545154  0.0563122 -0.0210358	0.0811511
0.129253	   0.29164 0.00497613   0.610181	0.6 0.3 0.4	 0.0546156  0.0563952 -0.0209823	0.0812622
0.130253	  0.291694 0.00503285    0.61016	0.6 0.3 0.4	 0.0547148   0.056477 -0.0209308	0.0813724
0.131253	  0.291749 0.00508888   0.610139	0.6 0.3 0.4	  0.054814   0.056556 -0.0208822	0.0814814
0.132253	 0.291804 0.0051456  0.610118	0.6 0.3 0.4	 0.0549117  0.0566334 -0.0208349	0.0815888
0.133253	  0.291859 0.00520233   0.610097	0.6 0.3 0.4	  0.055009  0.0567092 -0.0207898	0.0816953
0.134253	  0.291908 0.00525326   0.610079	0.6 0.3 0.4	0.0550955 0.0567753 -0.020751	0.0817897
0.135253	  0.291964 0.00531039   0.610058	0.6 0.3 0.4	 0.0551916  0.0568471 -0.0207102	0.081894
0.136253	  0.292019 0.00536711   0.610037	0.6 0.3 0.4	  0.055287  0.0569178 -0.0206718	0.0819976
0.137253	  0.292074 0.00542395   0.610016	0.6 0.3 0.4	 0.0553818  0.0569862 -0.0206353	0.0820999
0.138253	   0.29213 0.00548107   0.609996	0.6 0.3 0.4	 0.0554759  0.0570534 -0.0206012	0.0822014
0.139253	  0.292185 0.00553842   0.609975	0.6 0.3 0.4	 0.0555696   0.057119 -0.0205694	0.0823023
0.140253	  0.292241 0.00559525   0.609954	0.6 0.3 0.4	 0.0556628  0.0571821 -0.0205399	0.0824017
0.141253	 0.292297 0.0056526  0.609934	0.6 0.3 0.4	 0.0557552  0.0572444 -0.0205126	0.0825005
0.142253	  0.292352 0.00571011   0.609914	0.6 0.3 0.4	 0.0558473  0.0573053 -0.0204879	0.0825988
0.143253	  0.292408 0.00576716   0.609893	0.6 0.3 0.4	 0.0559384  0.0573642 -0.0204651	0.0826957
0.144253	 0.292464 0.0058245  0.609872	0.6 0.3 0.4	 0.0560295  0.0574222 -0.0204453	0.0827926
0.145253	   0.29252 0.00588224   0.609852	0.6 0.3 0.4	 0.0561198  0.0574783 -0.0204274	0.0828883
0.146253	  0.292577 0.00593968   0.609832	0.6 0.3 0.4	 0.0562098  0.0575336 -0.0204125	0.0829839
0.147253	  0.292633 0.00599684   0.609812	0.6 0.3 0.4	 0.0562994  0.0575871 -0.0203998	0.0830786
0.148253	  0.292689 0.00605456   0.609791	0.6 0.3 0.4	 0.0563884  0.0576395 -0.0203896	0.0831727
0.149253	  0.292745 0.00611268   0.609771	0.6 0.3 0.4	 0.0564767  0.0576903 -0.0203819	0.0832659
0.150253	  0.292802 0.00616993    0.60975	0.6 0.3 0.4	 0.0565645  0.0577397 -0.0203763	0.0833583
0.151253	  0.292859 0.00622787    0.60973	0.6 0.3 0.4	 0.0566524  0.0577885 -0.0203736	0.0834511
0.152253	 0.292915 0.0062858  0.609709	0.6 0.3 0.4	 0.0567392  0.0578358 -0.0203732	0.0835426
0.153253	  0.292972 0.00634373   0.609689	0.6 0.3 0.4	  0.056826   0.057882 -0.0203753	0.0836342
0.154253	  0.293029 0.00640165   0.609669	0.6 0.3 0.4	 0.0569121  0.0579266 -0.0203795	0.0837246
0.155253	 0.293086 0.0064591  0.609649	0.6 0.3 0.4	 0.0569981   0.057971 -0.0203868	0.0838155
0.156253	  0.293143 0.00651741   0.609628	0.6 0.3 0.4	 0.0570833  0.0580135 -0.0203966	0.0839053
0.157253	    0.2932 0.00657554   0.609607	0.6 0.3 0.4	 0.0571681  0.0580554 -0.0204083	0.0839948
0.158253	  0.293257 0.00663326   0.609587	0.6 0.3 0.4	 0.0572526  0.0580959 -0.0204228	0.0840838
0.159253	  0.293315 0.00669177   0.609567	0.6 0.3 0.4	 0.0573367  0.0581359 -0.0204399	0.0841729
0.160253	  0.293372 0.00674988   0.609546	0.6 0.3 0.4	   0.05742  0.0581747 -0.0204588	0.0842609
0.161253	   0.29343 0.00680798   0.609526	0.6 0.3 0.4	 0.0575034  0.0582124 -0.0204809	0.0843492
0.162253	 0.293487 0.0068663  0.609505	0.6 0.3 0.4	 0.0575861  0.0582493 -0.0205054	0.084437
0.163253	  0.293544 0.00692478   0.609485	0.6 0.3 0.4	 0.0576678  0.0582852 -0.0205317	0.0845239
0.164253	  0.293602 0.00698308   0.609465	0.6 0.3 0.4	   0.05775  0.0583205 -0.0205613	0.0846115
0.165253	   0.29366 0.00704137   0.609444	0.6 0.3 0.4	 0.0578312  0.0583545 -0.0205924	0.0846979
0.166253	  0.293718 0.00709948   0.609423	0.6 0.3 0.4	 0.0579123  0.0583879 -0.0206264	0.0847846
0.167253	  0.293776 0.00715816   0.609402	0.6 0.3 0.4	 0.0579926  0.0584205 -0.0206626	0.0848707
0.168253	  0.293834 0.00721625   0.609382	0.6 0.3 0.4	0.0580727 0.0584526 -0.020701	0.0849569
0.169253	  0.293892 0.00727491   0.609361	0.6 0.3 0.4	 0.0581525  0.0584835 -0.0207423	0.0850428
0.170253	   0.29395 0.00733338    0.60934	0.6 0.3 0.4	 0.0582315  0.0585138 -0.0207855	0.0851282
0.171253	  0.294009 0.00739184    0.60932	0.6 0.3 0.4	 0.0583102  0.0585435 -0.0208311	0.0852136
0.172253	  0.294067 0.00745012   0.609299	0.6 0.3 0.4	 0.0583883  0.0585722 -0.0208786	0.0852984
0.173253	  0.294125 0.00750897   0.609278	0.6 0.3 0.4	 0.0584664  0.0586002 -0.0209291	0.0853834
0.174253	  0.294184 0.00756752   0.609257	0.6 0.3 0.4	 0.0585434   0.058628 -0.0209808	0.0854679
0.175253	  0.294242 0.00762617   0.609236	0.6 0.3 0.4	 0.0586202  0.0586545 -0.0210353	0.0855521
0.176253	  0.294301 0.00768481   0.609215	0.6 0.3 0.4	 0.0586969   0.058681 -0.0210927	0.085637
0.177253	   0.29436 0.00774343   0.609193	0.6 0.3 0.4	 0.0587726  0.0587065 -0.0211513	0.0857208
0.178253	  0.294419 0.00780217   0.609172	0.6 0.3 0.4	 0.0588481  0.0587315 -0.0212127	0.0858048
0.179253	0.294477 0.007861 0.609151	0.6 0.3 0.4	  0.058923   0.058756 -0.0212755	0.0858885
0.180253	  0.294536 0.00791943    0.60913	0.6 0.3 0.4	 0.0589975  0.0587797 -0.0213409	0.085972
0.181253	  0.294595 0.00797853   0.609109	0.6 0.3 0.4	 0.0590812  0.0588041 -0.0214083	0.0860629
0.182253	  0.294655 0.00803733   0.609087	0.6 0.3 0.4	 0.0591546  0.0588266 -0.0214778	0.086146
