0.0191161	    0.27295 -0.00655907    0.614199	-0.65 -0.45   0.7	-0.000625   -0.7983 -0.009331  -2.17378 -0.016389   1.32962 -0.008006
0.0201161	   0.271472 -0.00725448    0.614358	-0.65 -0.45   0.7	-0.000728 -0.799927 -0.010332  -2.17322 -0.018067   1.32306 -0.008763
0.0211161	   0.269927 -0.00797998    0.614524	-0.65 -0.45   0.7	-0.000842 -0.801658 -0.011378  -2.17267 -0.019811   1.31629 -0.009541
0.0221161	   0.268317 -0.00873418    0.614698	-0.65 -0.45   0.7	-0.000966 -0.803491 -0.012468  -2.17213 -0.021618   1.30931  -0.01034
0.023991	   0.268317 -0.00873418    0.614698	-0.65 -0.45   0.7	-0.000966 -0.803491 -0.012468  -2.17213 -0.021618   1.30931  -0.01034
0.024991	  0.264909 -0.0103263   0.615069	-0.65 -0.45   0.7	-0.001249 -0.807466 -0.014777   -2.1711 -0.025412   1.29479 -0.011995
0.025991	  0.263113 -0.0111621   0.615265	-0.65 -0.45   0.7	-0.001408 -0.809608 -0.015994   -2.1706 -0.027395   1.28726 -0.012848
0.026991	  0.261258 -0.0120236   0.615468	-0.65 -0.45   0.7	-0.001581 -0.811852 -0.017251  -2.17013 -0.029432   1.27958 -0.013716
0.027991	  0.259346 -0.0129099   0.615678	-0.65 -0.45   0.7	-0.001766 -0.814198 -0.018549  -2.16968 -0.031522   1.27176 -0.014598
0.028991	  0.257377 -0.0138198   0.615895	-0.65 -0.45   0.7	-0.001965 -0.816645 -0.019885  -2.16925 -0.033662   1.26379 -0.015492
0.029991	  0.255353 -0.0147531   0.616119	-0.65 -0.45   0.7	-0.002178 -0.819192  -0.02126  -2.16884 -0.035852   1.25569 -0.016397
0.030991	  0.253275 -0.0157089    0.61635	-0.65 -0.45   0.7	-0.002405 -0.821838 -0.022673  -2.16845  -0.03809   1.24747 -0.017314
